Житель Якутска осужден за угон на 1 год и 8 месяц строгого режима  Подробнее - https://yakutsk.news/zhitel-yakutska-osuzhden-za-ugon-na-1-god-i-8-mesyac-strogogo-rezhima/№%:№%:2018-05-13 13:13:54№%:№%:139776120
В Якутии задержан мужчина, укравший из магазина 180 тыс рублей  Подробнее - https://yakutsk.news/v-yakutii-zaderzhan-muzhchina-ukravshij-iz-magazina-180-tys-rublej/№%:№%:2018-05-13 13:13:48№%:№%:139776120
В Якутске пьяный водитель врезался в столб  Подробнее - https://yakutsk.news/v-yakutske-pyanyj-voditel-vrezalsya-v-stolb/№%:№%:2018-05-13 13:13:20№%:№%:139776120
В Якутске пьяная женщина с ножом набросилась на знакомого  Подробнее - https://yakutsk.news/v-yakutske-pyanaya-zhenshhina-s-nozhom-nabrosilas-na-znakomogo/№%:№%:2018-05-11 05:39:18№%:№%:139776120
Житель Якутска до смерти забил двоих людей палкой  Подробнее - https://yakutsk.news/zhitel-yakutska-do-smerti-zabil-dvoix-lyudej-palkoj/№%:№%:2018-05-11 05:39:04№%:№%:139776120
В Якутске "Мерседес" врезался в столб и перевернулся  Подробнее - https://yakutsk.news/v-yakutske-mersedes-vrezalsya-v-stolb-i-perevernulsya/№%:№%:2018-05-11 05:38:43№%:№%:139776120
В Якутске двое подростков задержаны за кражу из дома  Подробнее - https://yakutsk.news/v-yakutske-dvoe-podrostkov-zaderzhany-za-krazhu-iz-doma/№%:№%:2018-05-11 05:38:26№%:№%:139776120
В Якутске школьника сбили на автобусной остановке  Подробнее - https://yakutsk.news/v-yakutske-shkolnika-sbili-na-avtobusnoj-ostanovke/№%:№%:2018-05-11 05:38:26№%:№%:139776120
Отключение света 11 мая в Якутске и трех районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-11-maya-v-yakutske-i-trex-rajonax-yakutii/№%:№%:2018-05-11 02:39:52№%:№%:139776120
В Якутии совершен наезд на 4-летнего ребенка  Подробнее - https://yakutsk.news/v-yakutii-sovershen-naezd-na-4-letnego-rebenka/№%:№%:2018-05-11 02:39:35№%:№%:139776120
В Якутии осужден водитель InDriver, виновный в смерти 2 пассажиров  Подробнее - https://yakutsk.news/v-yakutii-osuzhden-voditel-indriver-vinovnyj-v-smerti-2-passazhirov/№%:№%:2018-05-11 02:39:30№%:№%:139776120
В Якутске подросток на мопеде попал в ДТП  Подробнее - https://yakutsk.news/v-yakutske-podrostok-na-mopede-popal-v-dtp/№%:№%:2018-05-11 02:39:04№%:№%:139776120
В Якутии на р. Вилюй утонули многодетная мать со своим родственником  Подробнее - https://yakutsk.news/v-yakutii-na-r-vilyuj-utonuli-mnogodetnaya-mat-so-svoim-rodstvennikom/№%:№%:2018-05-11 02:38:46№%:№%:139776120
Отключение света 8 мая в Якутске и четырех районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-8-maya-v-yakutske-i-chetyrex-rajonax-yakutii/№%:№%:2018-05-07 14:04:32№%:№%:139776120
В Якутии экс-министр ВД генерал-майор Стахов осужден за мошенничество  Подробнее - https://yakutsk.news/v-yakutii-eks-ministr-vd-general-major-staxov-osuzhden-za-moshennichestvo/№%:№%:2018-05-07 14:04:09№%:№%:139776120
В Якутске водитель такси ограбил пассажира, угрожая пистолетом  Подробнее - https://yakutsk.news/v-yakutske-voditel-taksi-ograbil-passazhira-ugrozhaya-pistoletom/№%:№%:2018-05-07 14:04:04№%:№%:139776120
В Якутии на автодороге "Колыма" перевернулся автомобиль. Пострадал водитель  Подробнее - https://yakutsk.news/v-yakutii-na-avtodoroge-kolyma-perevernulsya-avtomobil-postradal-voditel/№%:№%:2018-05-07 14:03:45№%:№%:139776120
В Якутске совершен наезд на ребенка. Мальчик получил компрессионный перелом  Подробнее - https://yakutsk.news/v-yakutske-sovershen-naezd-na-rebenka-malchik-poluchil-kompressionnyj-perelom/№%:№%:2018-05-07 14:03:31№%:№%:139776120
В Якутске 7, 8 и 9 мая временно перекроют часть улиц  Подробнее - https://yakutsk.news/v-yakutske-7-8-i-9-maya-vremenno-perekroyut-chast-ulic/№%:№%:2018-05-07 11:57:56№%:№%:139776120
В Якутии 2-летний ребенок разбился насмерть, выпав с 8 этажа  Подробнее - https://yakutsk.news/v-yakutii-2-letnij-rebenok-razbilsya-nasmert-vypav-s-8-etazha/№%:№%:2018-05-07 11:57:52№%:№%:139776120
В Якутии пьяный конфликт закончился поножовщиной  Подробнее - https://yakutsk.news/v-yakutii-pyanyj-konflikt-zakonchilsya-ponozhovshhinoj/№%:№%:2018-05-07 11:57:18№%:№%:139776120
Житель Якутии сломал девушке челюсть из-за ревности  Подробнее - https://yakutsk.news/zhitel-yakutii-slomal-devushke-chelyust-iz-za-revnosti/№%:№%:2018-05-07 11:57:18№%:№%:139776120
Житель Якутии осужден на 19 лет за двойное убийство и покушение на убийство  Подробнее - https://yakutsk.news/zhitel-yakutii-osuzhden-na-19-let-za-dvojnoe-ubijstvo-i-pokushenie-na-ubijstvo/№%:№%:2018-05-07 11:57:03№%:№%:139776120
